"index","seqName","clade","major_lineage","genotype","otherName","seqLength","X.cds","year","geo_location","country","strain","date"
382,"PP564823.1|2023-10-06","1III_A","1III_A","1III","PP564823",10712,105.2362708,2023,"China: Guangzhou","China","PP564823",2023
387,"PP563830.1|2023-09-02","1I_K.1.1","1I_K","1I","PP563830",10625,104.3815699,2023,"China: Yunnan","China","PP563830",2023
442,"PP563909.1|2023-10-11","1I_K.1.1","1I_K","1I","PP563909",10689,105.0103154,2023,"China: Guangzhou","China","PP563909",2023
477,"PP563944.1|2023-10-27","1I_K.1.1","1I_K","1I","PP563944",10621,104.3422733,2023,"China: Guangzhou","China","PP563944",2023
506,"OP121149.1|2019-07","1I_H.1","1I_H","1I","OP121149",10672,104.8433048,2019,"Myanmar","Myanmar","OP121149",2019
507,"OP121150.1|2019-07","1I_H.1","1I_H","1I","OP121150",10672,104.8433048,2019,"Myanmar","Myanmar","OP121150",2019
513,"OP121156.1|2019-07","1I_H.1","1I_H","1I","OP121156",10672,104.8433048,2019,"Myanmar","Myanmar","OP121156",2019
523,"OR235238.1|2017-08","1I_H.1","1I_H","1I","OR235238",10528,103.4286276,2017,"Reunion","Reunion","OR235238",2017
526,"OR235241.1|2019-12","1I_K.2","1I_K","1I","OR235241",10528,103.4286276,2019,"Reunion","Reunion","OR235241",2019
527,"OR235242.1|2019-10","1III_A","1III_A","1III","OR235242",9542,93.74201788,2019,"Reunion","Reunion","OR235242",2019
528,"OR235243.1|2018-08","1I_H.1","1I_H","1I","OR235243",10528,103.4286276,2018,"Reunion","Reunion","OR235243",2018
541,"OR235256.1|2020-01","1I_K.2","1I_K","1I","OR235256",10528,103.4286276,2020,"Reunion","Reunion","OR235256",2020
557,"OR235272.1|2016-05","1III_A","1III_A","1III","OR235272",9542,93.74201788,2016,"Reunion","Reunion","OR235272",2016
558,"OR235273.1|2016-03","1III_A","1III_A","1III","OR235273",9542,93.74201788,2016,"Reunion","Reunion","OR235273",2016
564,"OR235279.1|2016-12","1III_A","1III_A","1III","OR235279",9542,93.74201788,2016,"Reunion","Reunion","OR235279",2016
573,"OR235288.1|2019-06","1I_K.2","1I_K","1I","OR235288",10528,103.4286276,2019,"Reunion","Reunion","OR235288",2019
579,"OR235294.1|2019-05","1I_K.2","1I_K","1I","OR235294",10528,103.4286276,2019,"Reunion","Reunion","OR235294",2019
581,"OR235296.1|2017-08","1I_H.1","1I_H","1I","OR235296",10528,103.4286276,2017,"Reunion","Reunion","OR235296",2017
