index,seqName,clade,major_lineage,genotype,otherName,seqLength,%cds,year,geo_location,country,strain,date
0,MW946760.1|2001,3II_A,3II_A,3II,MW946760,10173,100,2001,Thailand,Thailand,MW946760,2001
0,GU131845.1|2006,3III_C.2.2,3III_C,3III,GU131845,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131845,2006
1,MW946761.1|2000,3II_A.4,3II_A,3II,MW946761,10173,100,2000,Thailand,Thailand,MW946761,2000
1,GU131846.1|2006,3III_C.2.2,3III_C,3III,GU131846,10616,104.3546643,2006,Brazil: Sao Paulo,Brazil,GU131846,2006
2,MW946762.1|2011,3II_A.5,3II_A,3II,MW946762,10173,100,2011,Thailand,Thailand,MW946762,2011
2,GU131847.1|2006,3III_C.2.2,3III_C,3III,GU131847,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131847,2006
3,MW946763.1|2013,3III_B.1,3III_B,3III,MW946763,10173,100,2013,Thailand,Thailand,MW946763,2013
3,GU131848.1|2006,3III_C.2.2,3III_C,3III,GU131848,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131848,2006
4,MW946764.1|2010,3II_B,3II_B,3II,MW946764,10173,100,2010,Thailand,Thailand,MW946764,2010
4,GU131849.1|2006,3III_C.2.2,3III_C,3III,GU131849,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131849,2006
5,MW946765.1|1996,3II_A,3II_A,3II,MW946765,10173,100,1996,Thailand,Thailand,MW946765,1996
5,GU131850.1|2006,3III_C.2.2,3III_C,3III,GU131850,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131850,2006
6,MW946766.1|1997,3II_A,3II_A,3II,MW946766,10173,100,1997,Thailand,Thailand,MW946766,1997
6,GU131851.1|2006,3III_C.2.2,3III_C,3III,GU131851,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131851,2006
7,MW946767.1|2006,3III_B.1,3III_B,3III,MW946767,10173,100,2006,Thailand,Thailand,MW946767,2006
7,GU131852.1|2006,3III_C.2.2,3III_C,3III,GU131852,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131852,2006
8,MW946768.1|2006,3II_B,3II_B,3II,MW946768,10173,100,2006,Thailand,Thailand,MW946768,2006
8,GU131853.1|2006,3III_C.2.2,3III_C,3III,GU131853,10525,103.4601396,2006,Brazil: Sao Paulo,Brazil,GU131853,2006
9,MW946769.1|2005,3II_A,3II_A,3II,MW946769,10173,100,2005,Thailand,Thailand,MW946769,2005
9,GU131854.1|2006,3III_C.2.2,3III_C,3III,GU131854,10517,103.3815,2006,Brazil: Sao Paulo,Brazil,GU131854,2006
10,MW946770.1|1996,3II_A,3II_A,3II,MW946770,10173,100,1996,Thailand,Thailand,MW946770,1996
10,GU131855.1|2006,3III_C.2.2,3III_C,3III,GU131855,10616,104.3546643,2006,Brazil: Sao Paulo,Brazil,GU131855,2006
11,MW946771.1|1998,3II_B,3II_B,3II,MW946771,10173,100,1998,Thailand,Thailand,MW946771,1998
11,GU131856.1|2006,3III_C.2,3III_C,3III,GU131856,10616,104.3546643,2006,Brazil: Sao Paulo,Brazil,GU131856,2006
