"index","seqName","clade","major_lineage","genotype","otherName","seqLength","X.cds","Year","geo_location","country","strain","date"
1389,"PP530043.1|2014-05-14","4II_B.1.1","4II_B","4II","PP530043",10164,100,2014,"Brazil","Brazil","PP530043",2014
1390,"PP530044.1|2014-05-14","4II_B.1.1","4II_B","4II","PP530044",10164,100,2014,"Brazil","Brazil","PP530044",2014
1393,"PP530047.1|2014-07","4II_B.1.1","4II_B","4II","PP530047",10164,100,2014,"Brazil","Brazil","PP530047",2014
1397,"PP530051.1|2015-01-26","4II_B.1.1","4II_B","4II","PP530051",10164,100,2015,"Brazil","Brazil","PP530051",2015
1400,"PP530054.1|2015-03-02","4II_B.1.1","4II_B","4II","PP530054",10164,100,2015,"Brazil","Brazil","PP530054",2015
1401,"PP530055.1|2016-04-17","4II_B.1.1","4II_B","4II","PP530055",10164,100,2016,"Brazil","Brazil","PP530055",2016
1402,"PP530056.1|2016-01-14","4II_B.1.1","4II_B","4II","PP530056",10164,100,2016,"Brazil","Brazil","PP530056",2016
1403,"PP530057.1|2017-04-04","4II_B.1.1","4II_B","4II","PP530057",10164,100,2017,"Brazil","Brazil","PP530057",2017
1406,"PP530060.1|2015-06-16","4II_B.1.1","4II_B","4II","PP530060",10164,100,2015,"Brazil","Brazil","PP530060",2015
1409,"OP120947.1|2019-07","4I_A.3","4I_A","4I","OP120947",10606,104.3486816,2019,"Myanmar","Myanmar","OP120947",2019
1412,"PP447196.1|2022-02-14","4I_A.1.1","4I_A","4I","PP447196",10604,104.3290043,2022,"Cambodia","Cambodia","PP447196",2022
1413,"PP447197.1|2022-02-16","4I_A.1.1","4I_A","4I","PP447197",10337,101.7020858,2022,"Cambodia","Cambodia","PP447197",2022
1415,"PP447199.1|2022-02-23","4I_A.1.1","4I_A","4I","PP447199",10338,101.7119244,2022,"Cambodia","Cambodia","PP447199",2022
1419,"PP269980.1|2012-10-05","4I_A.1","4I_A","4I","PP269980",10513,103.4336875,2012,"Viet Nam","Viet Nam","PP269980",2012
1420,"PP269981.1|2011-07-05","4I_A.1.1","4I_A","4I","PP269981",10513,103.4336875,2011,"Viet Nam","Viet Nam","PP269981",2011
1421,"PP269982.1|2011-12-16","4I_A.1","4I_A","4I","PP269982",10511,103.4140102,2011,"Viet Nam","Viet Nam","PP269982",2011
1425,"PP269986.1|2011-12-21","4I_A.1.1","4I_A","4I","PP269986",10513,103.4336875,2011,"Viet Nam","Viet Nam","PP269986",2011
1426,"PP269987.1|2012-07-23","4I_A.1","4I_A","4I","PP269987",10513,103.4336875,2012,"Viet Nam","Viet Nam","PP269987",2012
1434,"PP269995.1|2012-11-07","4I_A.1","4I_A","4I","PP269995",10513,103.4336875,2012,"Viet Nam","Viet Nam","PP269995",2012
1435,"PP269996.1|2013-01-02","4I_A.1.2","4I_A","4I","PP269996",10513,103.4336875,2013,"Viet Nam","Viet Nam","PP269996",2013
1439,"PP270000.1|2015-10-20","4I_A.1","4I_A","4I","PP270000",10513,103.4336875,2015,"Viet Nam","Viet Nam","PP270000",2015
1448,"PP270009.1|2013-12-06","4I_A.1","4I_A","4I","PP270009",10513,103.4336875,2013,"Viet Nam","Viet Nam","PP270009",2013
1451,"PP270012.1|2014-08-06","4I_A.1","4I_A","4I","PP270012",10513,103.4336875,2014,"Viet Nam","Viet Nam","PP270012",2014
1452,"PP270013.1|2014-10-06","4I_A.1.1","4I_A","4I","PP270013",10531,103.6107832,2014,"Viet Nam","Viet Nam","PP270013",2014
1456,"PP270017.1|2013-07-30","4I_A.1.1","4I_A","4I","PP270017",10513,103.4336875,2013,"Viet Nam","Viet Nam","PP270017",2013
1461,"PP270022.1|2014-12-02","4I_A.1.2","4I_A","4I","PP270022",10513,103.4336875,2014,"Viet Nam","Viet Nam","PP270022",2014
1471,"PP270032.1|2015-10-06","4I_A.1.2","4I_A","4I","PP270032",10515,103.4533648,2015,"Viet Nam","Viet Nam","PP270032",2015
1480,"PP270041.1|2015-08-07","4I_A.1.2","4I_A","4I","PP270041",10244,100.7870917,2015,"Viet Nam","Viet Nam","PP270041",2015
1489,"PP270050.1|2016-01-11","4I_A.1","4I_A","4I","PP270050",10237,100.7182212,2016,"Viet Nam","Viet Nam","PP270050",2016
1497,"OP811922.1|2019-12-29","4II_B.1.1","4II_B","4II","OP811922",10164,100,2019,"Paraguay","Paraguay","OP811922",2019
1503,"OP811928.1|2019-06-14","4II_B.1.1","4II_B","4II","OP811928",10164,100,2019,"Paraguay","Paraguay","OP811928",2019
1514,"OP811939.1|2020-01-09","4II_B.1.1","4II_B","4II","OP811939",10164,100,2020,"Paraguay","Paraguay","OP811939",2020
1538,"OP811963.1|2019-02-28","4II_B.1.1","4II_B","4II","OP811963",10164,100,2019,"Paraguay","Paraguay","OP811963",2019
1549,"OP811974.1|2020-01-09","4II_B.1.1","4II_B","4II","OP811974",10164,100,2020,"Paraguay","Paraguay","OP811974",2020
1553,"OR821957.1|2023-10-12","4II_B.2","4II_B","4II","OR821957",10376,102.085793,2023,"USA: FL","USA","OR821957",2023
1555,"OR771168.1|2023-09-01","4II_B.2","4II_B","4II","OR771168",10512,103.4238489,2023,"USA: FL","USA","OR771168",2023
1556,"OR654276.1|2023-05-31","4II_B.1.2","4II_B","4II","OR654276",10486,103.1680441,2023,"USA: FL","USA","OR654276",2023
1557,"OQ567848.1|2016-03-07","4II_B.1.1","4II_B","4II","OQ567848",9790,96.32034632,2016,"Paraguay: Coronel Oviedo","Paraguay","OQ567848",2016
1567,"OQ567858.1|2020-01-01","4II_B.1.1","4II_B","4II","OQ567858",9793,96.34986226,2020,"Paraguay: Ita","Paraguay","OQ567858",2020
1581,"OQ567872.1|2021-02-22","4II_B.1.1","4II_B","4II","OQ567872",9809,96.5072806,2021,"Paraguay: Pilar","Paraguay","OQ567872",2021
1582,"OR389040.1|2011","4I_A.2","4I_A","4I","OR389040",10511,103.4140102,2011,"Cambodia","Cambodia","OR389040",2011
1583,"OR389041.1|1988","4II_B","4II_B","4II","OR389041",10511,103.4140102,1988,"Colombia","Colombia","OR389041",1988
1584,"OR389045.1|2008","4I_A.3","4I_A","4I","OR389045",10511,103.4140102,2008,"Myanmar","Myanmar","OR389045",2008
1585,"OR389046.1|2003","4I_B","4I_B","4I","OR389046",10511,103.4140102,2003,"Sri Lanka","Sri Lanka","OR389046",2003
1586,"OR389345.1|1989","4II_B","4II_B","4II","OR389345",10511,103.4140102,1989,"Dominican Republic","Dominican Republic","OR389345",1989
1587,"OR389346.1|1987","4II_B","4II_B","4II","OR389346",10511,103.4140102,1987,"El Salvador","El Salvador","OR389346",1987
1588,"OR389347.1|1961","4II_B","4II_B","4II","OR389347",10511,103.4140102,1961,"India","India","OR389347",1961
1589,"OR389348.1|1961","4I","4I","4I","OR389348",10511,103.4140102,1961,"India","India","OR389348",1961
1590,"OR389349.1|1965","4I","4I","4I","OR389349",10511,103.4140102,1965,"India","India","OR389349",1965
1591,"OR389350.1|1984","4I","4I","4I","OR389350",10511,103.4140102,1984,"Indonesia","Indonesia","OR389350",1984
1592,"OR389351.1|1985","4II_B","4II_B","4II","OR389351",10511,103.4140102,1985,"Indonesia","Indonesia","OR389351",1985
1593,"OR389352.1|1978","4I","4I","4I","OR389352",10511,103.4140102,1978,"Sri Lanka","Sri Lanka","OR389352",1978
1594,"OR389353.1|1988","4I_B","4I_B","4I","OR389353",10511,103.4140102,1988,"Taiwan","Taiwan","OR389353",1988
1595,"OR389354.1|1990","4I","4I","4I","OR389354",10511,103.4140102,1990,"Venezuela","Venezuela","OR389354",1990
1596,"OR389355.1|1990","4II_B","4II_B","4II","OR389355",10511,103.4140102,1990,"Venezuela","Venezuela","OR389355",1990
1597,"OR162320.1|2022-11-15","4II_B.1.2","4II_B","4II","OR162320",10508,103.3844943,2022,"USA: FL","USA","OR162320",2022
1598,"OQ603316.1|2013-09-18","4II_B.1","4II_B","4II","OQ603316",10490,103.2073987,2013,"Colombia: Risaralda","Colombia","OQ603316",2013
1599,"OQ603317.1|2016-05-21","4II_B.1","4II_B","4II","OQ603317",10100,99.37032664,2016,"Colombia: Quindio","Colombia","OQ603317",2016
1601,"OQ821625.1|2016-02-05","4II_B.1","4II_B","4II","OQ821625",10511,103.4140102,2016,"Cuba","Cuba","OQ821625",2016
1602,"OQ821626.1|2013-12-06","4II_B.1","4II_B","4II","OQ821626",10534,103.6402991,2013,"Cuba","Cuba","OQ821626",2013
